jatosResID;image;trial_main;x1;x2
6538;2va036;132;0.84;0.83
6538;2va037;75;0.61;0.85
6538;2va041;30;0.66;1.00
6538;2va042;63;0.08;0.87
6538;2va044;65;0.06;0.10
6538;2va051;100;0.02;0.67
6538;2va056;133;0.19;0.38
6538;2va057;37;0.94;0.38
6538;2va063;45;0.11;0.39
6538;2va067;6;0.88;0.59
6538;2va071;2;0.08;0.69
6538;2va074;73;0.06;0.93
6538;2va075;27;0.13;0.19
6538;2va078;32;0.88;0.05
6538;2va081;124;0.85;0.67
6538;2va088;151;0.00;0.98
6538;2va092;33;0.90;0.04
6538;2va106;62;0.72;0.74
6538;2va108;126;0.03;0.98
6538;2va118;93;0.01;0.99
6538;2va119;102;0.57;0.73
6538;2va131;26;0.04;0.96
6538;2va137;1;0.13;0.50
6538;art_001;110;0.09;0.55
6538;art_002;111;0.70;0.52
6538;art_003;107;0.09;0.27
6538;art_004;31;0.08;0.74
6538;art_005;96;0.13;0.33
6538;art_006;122;0.03;0.09
6538;art_007;61;0.55;0.67
6538;art_008;113;0.06;0.08
6538;art_009;53;0.11;0.05
6538;art_010;88;0.07;0.48
6538;art_011;47;0.44;0.15
6538;art_012;101;0.54;0.22
6538;art_013;131;0.10;0.78
6538;art_014;58;0.60;0.30
6538;art_015;46;0.11;0.23
6538;art_016;9;0.08;0.08
6538;art_017;60;0.06;0.24
6538;art_018;74;0.67;0.44
6538;art_019;51;0.66;0.17
6538;art_020;127;0.61;0.20
6538;art_021;66;0.14;0.58
6538;art_022;69;0.03;0.83
6538;art_023;87;0.03;0.12
6538;art_024;139;0.01;0.30
6538;art_025;11;0.02;0.83
6538;art_026;129;0.48;0.51
6538;art_027;10;0.86;0.27
6538;art_028;43;0.73;0.20
6538;art_029;119;0.42;0.49
6538;art_030;25;0.01;0.29
6538;art_031;4;0.08;0.03
6538;art_032;142;0.54;0.16
6538;art_033;15;0.07;0.04
6538;art_034;67;0.78;0.93
6538;art_035;35;0.53;0.51
6538;art_036;17;0.04;0.08
6538;art_037;98;0.51;0.33
6538;art_038;42;0.53;0.55
6538;art_039;54;0.05;0.26
6538;art_040;8;0.13;0.68
6538;art_041;23;0.04;0.66
6538;art_042;144;0.06;0.49
6538;art_043;34;0.02;1.00
6538;art_044;79;0.06;0.97
6538;art_045;48;0.53;0.68
6538;art_046;86;0.60;0.56
6538;art_047;136;0.85;0.23
6538;art_048;18;0.85;0.43
6538;art_049;115;0.73;0.15
6538;art_050;40;0.63;0.92
6538;art_051;12;0.54;0.94
6538;art_052;82;0.72;0.25
6538;art_053;135;0.59;0.70
6538;art_054;150;0.60;0.50
6538;art_055;130;0.76;0.44
6538;art_056;55;0.11;0.06
6538;art_057;20;0.77;0.53
6538;art_058;106;0.46;0.68
6538;art_059;125;0.72;0.69
6538;art_060;29;0.78;0.18
6538;art_061;7;0.75;0.97
6538;art_062;104;0.91;0.20
6538;art_063;99;0.60;0.72
6538;art_064;116;0.65;0.53
6538;art_065;84;0.70;0.98
6538;art_066;5;0.95;0.91
6538;art_067;76;0.42;0.28
6538;art_068;95;0.01;0.99
6538;art_069;70;0.75;0.57
6538;art_070;36;0.49;0.45
6538;art_071;108;0.04;0.16
6538;art_072;134;0.65;0.36
6538;art_073;146;0.08;0.51
6538;art_074;153;0.83;0.16
6538;art_075;92;0.48;0.38
6538;art_076;128;0.54;0.98
6538;art_077;78;0.96;0.59
6538;art_078;117;0.87;0.06
6538;art_079;91;0.67;0.25
6538;art_080;50;0.79;0.57
6538;art_081;28;0.97;0.49
6538;art_082;118;0.97;0.41
6538;art_083;71;0.91;0.33
6538;art_084;83;0.83;0.92
6538;art_085;121;0.90;0.34
6538;art_086;112;0.92;0.23
6538;art_087;97;0.95;0.28
6538;art_088;13;0.93;0.64
6538;art_089;141;0.74;0.53
6538;art_090;137;0.94;0.23
6538;art_091;152;0.59;0.21
6538;art_092;90;0.40;0.21
6538;art_093;72;0.85;0.13
6538;art_094;105;0.63;0.45
6538;art_095;44;0.78;0.81
6538;art_096;59;0.00;0.99
6538;art_097;39;0.90;0.16
6538;art_098;140;0.53;0.09
6538;art_099;77;0.57;0.15
6538;art_100;56;0.85;0.76
6538;art_101;57;0.67;0.48
6538;art_102;38;0.01;0.97
6538;art_103;49;0.02;0.99
6538;art_104;52;0.01;0.98
6538;art_105;154;0.01;0.98
6538;art_106;103;0.02;1.00
6538;art_107;3;0.08;0.98
6538;art_108;89;0.00;0.99
6538;art_109;109;0.61;0.94
6535;2va003;95;0.90;0.09
6535;2va005;6;0.40;0.60
6535;2va006;97;0.89;0.09
6535;2va007;75;0.99;0.00
6535;2va009;34;0.98;0.04
6535;2va014;9;0.52;0.54
6535;2va016;135;0.93;0.13
6535;2va018;44;0.63;0.21
